Ticker,Nama,Sektor,Industri,Indeks,Harga,MCap_MiliarUSD,Tanggal_Data,Bar,Basis,Periode_Lapkeu,Nilai20H_JutaUSD,VolSpike,LolosLikuiditas,EV_EBITDA,PE_TTM,PB,EBITDA_EV,E_P,FCF_Yield,Z_Value,ROIC,ROE,GrossMargin,GM_Stabilitas5T,NetDebt_EBITDA,Akrual,ROA_Variabilitas5T,OCF_Laba,F_Score,Z_Altman,Cakupan_Bunga,Z_Quality,Ret12_1,Ret6_1,Mom_RiskAdj,Z_Momentum,RS_Rating,Vol1T,Beta,MaxDD1T,Z_LowVol,DivYield,Buyback_Yield,Shareholder_Yield,Rev_YoY,Laba_YoY,Dilusi_YoY,MA50,MA150,MA200,MA200_Naik,High52,Low52,ATR14,RSI14,RS_vs_SPX,RS_HighBaru,TrendTemplate,Flag,Keyakinan
BLKB,Blackbaud,Information Technology,Application Software,SP600,45.48,2.06,2026-09-11,499.0,TTM-4Q,2026-06-30,17.2,0.78,True,10.2,13.7,30.8,9.8,7.3,15.9,1.49,16.3,215.6,59.6,2.4,3.58,-7.2,5.2,2.25,7.0,1.16,3.4,0.08,-34.9,0.0,-0.36,-1.17,66.0,47.9,0.77,-62.2,0.02,0.0,10.93,10.93,0.7,,-7.0,40.61,38.63,43.74,False,70.71,25.58,1.89,52.6,60.5,False,False,ZONA-BAHAYA;GOODWILL,100.0
CI,Cigna,Health Care,Health Care Services,SP500,280.76,74.19,2026-09-11,499.0,TTM-4Q,2026-06-30,388.3,0.96,True,7.8,11.9,1.74,12.8,8.4,,1.44,11.0,15.0,20.6,4.0,1.94,-2.6,0.7,1.65,7.0,2.78,7.2,-1.44,-6.7,4.9,-0.03,-0.87,33.0,33.5,0.22,-21.4,1.08,2.19,1.43,3.62,7.8,27.9,-1.6,283.48,281.39,279.69,True,315.47,239.51,6.73,50.3,-8.1,False,False,GOODWILL,100.0
KFY,Korn/Ferry International,Industrials,Human Resource & Employment Services,SP600,77.59,4.23,2026-09-11,499.0,TTM-4Q,2026-07-31,34.2,1.28,True,7.9,15.1,2.12,12.7,6.6,7.5,1.39,11.9,14.4,,0.3,-0.86,-3.3,1.8,1.44,9.0,3.47,999.0,0.37,18.1,37.7,0.95,0.83,63.0,29.4,0.76,-19.6,0.9,2.57,2.51,5.07,6.9,11.9,-1.9,80.79,70.76,69.91,True,87.51,58.95,2.43,34.0,2.2,False,False,,100.0
CPB,The Campbell's Company,Consumer Staples,Packaged Foods & Meats,SP600,21.0,6.26,2026-09-11,499.0,TTM-4Q,2026-05-03,191.2,1.0,True,8.4,10.3,1.55,11.9,9.7,10.7,1.38,7.9,15.4,28.8,,4.32,-3.3,1.7,1.81,7.0,1.65,3.4,-1.05,-28.2,8.0,-0.31,-0.62,13.0,32.1,0.17,-38.0,-0.02,7.51,0.45,7.95,-2.9,33.9,0.0,22.6,22.54,23.91,False,34.17,19.56,0.81,35.4,-10.8,False,False,ZONA-BAHAYA;GOODWILL,100.0
DBD,Diebold Nixdorf,Information Technology,Electronic Equipment & Instruments,SP600,65.62,2.23,2026-09-11,499.0,TTM-4Q,2026-06-30,16.1,0.76,True,7.8,20.0,2.3,12.8,5.0,,1.35,8.9,10.8,25.2,1.7,1.78,-4.3,7.1,2.46,7.0,1.9,2.7,-0.92,20.5,-1.9,0.23,-0.77,20.0,40.6,1.05,-28.1,1.06,0.0,9.52,9.52,5.4,,-5.9,75.95,78.02,75.45,True,92.08,54.48,2.38,34.7,-22.4,False,False,,100.0
DVA,DaVita,Health Care,Health Care Services,SP500,181.55,11.58,2026-09-11,499.0,TTM-4Q,2026-06-30,105.0,1.32,True,7.6,13.7,,13.1,7.3,13.9,1.32,16.5,,,,3.56,-7.6,0.9,2.59,6.0,1.7,999.0,0.23,37.2,18.6,0.64,-0.07,70.0,43.6,0.25,-27.9,0.6,0.0,7.7,7.7,6.4,1.3,-14.6,205.06,182.08,165.37,True,247.49,101.0,5.39,42.7,-14.0,False,False,ZONA-BAHAYA;GOODWILL,100.0
PBF,PBF Energy,Energy,Oil & Gas Refining & Marketing,SP400,78.3,9.48,2026-09-11,499.0,TTM-4Q,2026-06-30,193.5,1.14,True,4.5,7.0,1.48,22.4,14.3,7.8,1.31,18.8,23.5,3.9,4.5,0.37,-2.2,10.3,1.22,8.0,3.99,11.3,-0.11,155.2,65.0,1.7,1.5,99.0,64.8,0.47,-34.9,-0.97,1.34,0.0,1.34,13.5,,5.5,66.42,49.77,45.09,True,82.61,25.62,3.93,64.3,83.8,True,True,DILUSI,100.0
CRUS,Cirrus Logic,Information Technology,Semiconductors,SP400,118.79,5.95,2026-09-11,499.0,TTM-4Q,2026-06-27,100.9,1.26,True,9.8,13.8,2.72,10.2,7.2,9.6,1.3,19.4,20.9,52.8,0.9,-1.54,-6.9,3.1,1.39,8.0,11.76,471.0,0.32,8.2,-8.1,0.0,-1.02,13.0,36.6,1.13,-39.4,0.74,0.0,3.55,3.55,6.2,23.0,-1.8,126.77,145.37,139.97,False,180.42,106.26,3.98,51.7,-29.6,False,False,,90.0
CCK,Crown Holdings,Materials,Paper & Plastic Packaging Products & Materials,SP400,112.64,12.25,2026-09-11,499.0,TTM-4Q,2026-06-30,84.5,0.9,True,8.4,15.6,4.27,11.8,6.4,9.8,1.29,12.5,27.2,,220.6,2.58,-6.5,3.3,2.2,7.0,,4.1,-0.57,29.2,17.0,0.91,0.69,68.0,25.4,0.61,-20.2,1.09,1.12,6.64,7.75,10.3,40.8,-5.2,116.57,107.97,106.56,True,122.91,89.21,2.36,38.2,11.3,False,False,GOODWILL,100.0
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",SP500,35.48,32.0,2026-09-11,499.0,TTM-4Q,2026-07-31,486.0,1.71,True,8.9,13.1,,11.2,7.7,12.1,1.29,31.8,,19.9,1.0,1.2,-5.2,4.2,1.9,7.0,1.69,8.2,-0.14,7.4,56.4,0.72,0.22,93.0,44.3,1.21,-35.6,0.63,3.42,3.83,7.25,8.1,-7.2,-2.8,28.05,23.3,23.07,True,36.23,17.56,1.6,71.1,38.8,True,True,ZONA-BAHAYA;GOODWILL,100.0
